,term,estimate,std.error,statistic,p.value,signif
1,"Changed employer, voluntary",0.433428837,0.027218348,15.92414202,8.35E-57,***
2,"Changed employer, involuntary",0.080902767,0.052140864,1.551619238,0.120766361, 
3,"Changed employer, other",0.113228097,0.038294801,2.956748561,0.003112,**
4,"Same employer, voluntary",0.236831035,0.029790549,7.949871365,1.95E-15,***
5,"Same employer, involuntary",-0.159848529,0.11277206,-1.417447989,0.156364794, 
6,"Same employer, other",-0.011218189,0.049316382,-0.22747389,0.820057181, 
,,,,,,*
7,age,-0.055970527,0.026622102,-2.102408284,0.035527773, 
8,age_sq,0.000186197,0.000118174,1.575624208,0.115125433, 
,,,,,,
9,permtemp,0.0076133,0.067526612,0.112745186,0.910233506,***
,,,,,,
10,jbsize100-500,-0.090335026,0.023575784,-3.831686993,0.000127587,**
11,jbsize500+,-0.095296771,0.029027734,-3.28295597,0.001028695,.
,,,,,,
12,nchild1,0.045161593,0.026551633,1.700896984,0.088975109, 
13,nchild2,-0.003554489,0.033012001,-0.107672625,0.914256273, 
14,nchild3+,0.070163552,0.054187676,1.294824892,0.195392928, 
,,,,,,
15,factor(isco10)2,0.004184507,0.036858723,0.113528256,0.909612699, 
16,factor(isco10)3,0.02118796,0.033085352,0.64040305,0.521916631,**
17,factor(isco10)4,-0.0983629,0.035207223,-2.793827277,0.005212901, 
18,factor(isco10)5,0.028995166,0.041723466,0.694936648,0.487101639, 
19,factor(isco10)6,0.10583493,0.137586001,0.769227455,0.44176576, 
20,factor(isco10)7,-0.068094363,0.046616684,-1.460729459,0.144102612,***
21,factor(isco10)8,-0.181041179,0.050416507,-3.590910834,0.000330173,**
22,factor(isco10)9,-0.140484348,0.04776621,-2.941082164,0.003273757, 
,,,,,,
23,wave11,0.08309317,0.077320069,1.074664974,0.282535406, 
24,wave12,0.070970205,0.088179114,0.804841447,0.420919044, 
25,wave13,0.096736553,0.105402879,0.917779038,0.358743655, 
26,wave14,0.173284451,0.125268479,1.383304508,0.166584206, 
27,wave15,0.205403652,0.146184922,1.405094651,0.1600059,.
28,wave16,0.295145609,0.168027036,1.756536426,0.079009434, 
29,wave17,0.310983198,0.190905065,1.628993962,0.103327241,.
30,wave18,0.371778125,0.214207399,1.735598894,0.08264744,
