"","term","estimate","std.error","statistic","p.value","signif"
"1","M_eventChanged employer, voluntary",0.457207546133532,0.030230769147874,15.1239137812571,1.93012230451236e-51,"***"
"2","M_eventChanged employer, involuntary",0.032194156649402,0.0579502115164434,0.555548561548681,0.578524608198482," "
"3","M_eventChanged employer, other",-0.0256787485403516,0.0425935229135148,-0.602879188755806,0.54659467670266," "
"4","M_eventSame employer, voluntary",0.215470930806497,0.0330904494570642,6.51157461871519,7.58162537959719e-11,"***"
"5","M_eventSame employer, involuntary",-0.0176993623553138,0.125342010296265,-0.141208540643945,0.887706367433606," "
"6","M_eventSame employer, other",0.0338221123616503,0.0548085321744666,0.617095751697705,0.537177341090361," "
"7","age",0.0252705110538315,0.0295858214594069,0.854142619920282,0.393034375037153," "
"8","age_sq",-5.44739412048952e-05,0.000131290505353324,-0.414911505278293,0.678210342748834," "
"9","permtemp",-0.0442334645757621,0.0750534206366494,-0.589359741375497,0.55562544509212," "
"10","jbsize100-500",0.0174253009205126,0.026192973119323,0.665266246833876,0.505886516736859," "
"11","jbsize500+",0.0183418274160874,0.0322561891633925,0.568629707718342,0.569612704194729," "
"12","nchild1",0.113113630178747,0.0295061576103432,3.83356015623994,0.000126619548589168,"***"
"13","nchild2",0.120635188749241,0.0366872479501093,3.28820490741885,0.00100971325073682,"**"
"14","nchild3+",0.184507396220259,0.0602187784192466,3.06395116379991,0.00218673245618302,"**"
"15","factor(isco10)2",-0.00255264795972326,0.0409459672722607,-0.0623418648959986,0.950291101652133," "
"16","factor(isco10)3",0.0422856116536141,0.0367343255769032,1.15111985832132,0.249694233379196," "
"17","factor(isco10)4",0.0191244681824456,0.0390932264368545,0.489201581080459,0.624703397027796," "
"18","factor(isco10)5",-0.108178716982182,0.0463398318253983,-2.33446503193589,0.0195794718884092,"*"
"19","factor(isco10)6",0.112898287099572,0.152919890748372,0.738283859261609,0.460349088527045," "
"20","factor(isco10)7",-0.0525282169343176,0.0518109319395388,-1.01384427895672,0.31066713758044," "
"21","factor(isco10)8",-0.0405057105100717,0.056050834930853,-0.722660252252112,0.469895582180465," "
"22","factor(isco10)9",0.0332033620118941,0.0530959454837746,0.625346468725011,0.531749548570666," "
"23","wave11",0.071074755758401,0.0859398035747372,0.827029534650857,0.408228426440662," "
"24","wave12",-0.00663536590483187,0.0980106606617087,-0.067700450747234,0.9460246463922," "
"25","wave13",-0.00745023269458625,0.117156427652947,-0.0635921805046509,0.949295480221301," "
"26","wave14",-0.00792029426913536,0.139233558150095,-0.0568849519782956,0.95463730826345," "
"27","wave15",0.0696767671713049,0.162486242308898,0.428816410430886,0.668060629083407," "
"28","wave16",0.0550246309047001,0.186763602844084,0.294621811031543,0.768285310345001," "
"29","wave17",0.0630439492233869,0.212195001712402,0.297103837105614,0.766389769483009," "
"30","wave18",0.0489491749709627,0.238098151278056,0.205584019481944,0.837117580206177," "
