"","term","estimate","std.error","statistic","p.value"
"1","M_eventChanged employer, voluntary",0.433428837157229,0.0272183478820316,15.9241420175749,8.34680425151106e-57
"2","M_eventChanged employer, involuntary",0.0809027669092337,0.0521408635130981,1.55161923793054,0.120766361403479
"3","M_eventChanged employer, other",0.113228096979275,0.0382948007330076,2.95674856147456,0.0031119997132391
"4","M_eventSame employer, voluntary",0.236831034684821,0.0297905492817934,7.94987136506278,1.94762849339767e-15
"5","M_eventSame employer, involuntary",-0.159848529171241,0.112772059616925,-1.41744798945972,0.156364793505284
"6","M_eventSame employer, other",-0.0112181893048017,0.0493163822889343,-0.227473889692004,0.820057181065367
"7","age",-0.0559705267978419,0.0266221015310889,-2.10240828405227,0.0355277725413239
"8","age_sq",0.000186197465965775,0.000118173778357625,1.57562420829341,0.115125432798011
"9","permtemp",0.00761330049162434,0.0675266124726135,0.11274518612513,0.910233506238601
"10","jbsize100-500",-0.0903350257966666,0.0235757842328842,-3.83168699307422,0.000127587253579314
"11","jbsize500+",-0.0952967714194335,0.0290277336295542,-3.28295597016256,0.00102869516054639
"12","nchild1",0.045161592616992,0.0265516330738766,1.70089698405124,0.0889751091648172
"13","nchild2",-0.00355448877655898,0.0330120007130354,-0.107672625099497,0.914256272894578
"14","nchild3+",0.0701635518103894,0.0541876760740437,1.29482489181702,0.195392927920638
"15","factor(isco10)2",0.00418450655627818,0.0368587230908199,0.113528256146247,0.909612699236835
"16","factor(isco10)3",0.0211879600511712,0.0330853515871221,0.640403049530182,0.5219166305351
"17","factor(isco10)4",-0.0983628996247137,0.0352072228783462,-2.79382727699351,0.00521290058897702
"18","factor(isco10)5",0.0289951657910182,0.0417234662433926,0.694936648404898,0.487101639281662
"19","factor(isco10)6",0.105834929792082,0.137586001471077,0.769227455267902,0.441765760187634
"20","factor(isco10)7",-0.0680943631077237,0.046616683672492,-1.46072945870891,0.14410261177052
"21","factor(isco10)8",-0.181041179383952,0.0504165065011393,-3.59091083353545,0.000330172915045855
"22","factor(isco10)9",-0.14048434796688,0.047766209894529,-2.94108216408794,0.0032737570975336
"23","wave11",0.0830931703940711,0.0773200694353244,1.07466497380186,0.282535405960853
"24","wave12",0.0709702054778093,0.0881791137136641,0.804841447015041,0.420919043723658
"25","wave13",0.0967365533172135,0.105402879468082,0.917779037967434,0.358743654509089
"26","wave14",0.173284451479057,0.12526847883585,1.38330450796106,0.166584206428206
"27","wave15",0.205403652408932,0.146184922351039,1.40509465070337,0.160005899612314
"28","wave16",0.295145608919126,0.168027035792826,1.75653642597751,0.0790094336689512
"29","wave17",0.310983198450392,0.190905065205091,1.62899396156042,0.103327241103174
"30","wave18",0.371778124943764,0.214207399102703,1.73559889388094,0.0826474400762047
